From,To,PM2.5,count,PM2.5_StationAverage
01-01-2020 00:00,02-01-2020 00:00,1094.75,4,273.6875
02-01-2020 00:00,03-01-2020 00:00,709.23,4,177.3075
03-01-2020 00:00,04-01-2020 00:00,474.50000000000006,4,118.62500000000001
04-01-2020 00:00,05-01-2020 00:00,418.49,4,104.6225
05-01-2020 00:00,06-01-2020 00:00,396.39,4,99.0975
06-01-2020 00:00,07-01-2020 00:00,518.7,4,129.675
07-01-2020 00:00,08-01-2020 00:00,636.94,4,159.235
08-01-2020 00:00,09-01-2020 00:00,732.0699999999999,4,183.01749999999998
09-01-2020 00:00,10-01-2020 00:00,398.95000000000005,4,99.73750000000001
10-01-2020 00:00,11-01-2020 00:00,444.34000000000003,4,111.08500000000001
11-01-2020 00:00,12-01-2020 00:00,731.75,4,182.9375
12-01-2020 00:00,13-01-2020 00:00,908.1500000000001,4,227.03750000000002
13-01-2020 00:00,14-01-2020 00:00,817.9300000000001,4,204.48250000000002
14-01-2020 00:00,15-01-2020 00:00,678.55,4,169.6375
15-01-2020 00:00,16-01-2020 00:00,701.1500000000001,4,175.28750000000002
16-01-2020 00:00,17-01-2020 00:00,388.03000000000003,4,97.00750000000001
17-01-2020 00:00,18-01-2020 00:00,234.03,4,58.5075
18-01-2020 00:00,19-01-2020 00:00,318.55,4,79.6375
19-01-2020 00:00,20-01-2020 00:00,275.92,4,68.98
20-01-2020 00:00,21-01-2020 00:00,440.8,4,110.2
21-01-2020 00:00,22-01-2020 00:00,592.36,4,148.09
22-01-2020 00:00,23-01-2020 00:00,640.87,4,160.2175
23-01-2020 00:00,24-01-2020 00:00,355.83,4,88.9575
24-01-2020 00:00,25-01-2020 00:00,385.27,4,96.3175
25-01-2020 00:00,26-01-2020 00:00,532.8799999999999,4,133.21999999999997
26-01-2020 00:00,27-01-2020 00:00,630.91,4,157.7275
27-01-2020 00:00,28-01-2020 00:00,601.83,4,150.4575
28-01-2020 00:00,29-01-2020 00:00,631.28,4,157.82
29-01-2020 00:00,30-01-2020 00:00,532.4,4,133.1
30-01-2020 00:00,31-01-2020 00:00,209.49,4,52.3725
31-01-2020 00:00,01-02-2020 00:00,314.61,4,78.6525
01-02-2020 00:00,02-02-2020 00:00,421.48,4,105.37
02-02-2020 00:00,03-02-2020 00:00,404.5,4,101.125
03-02-2020 00:00,04-02-2020 00:00,522.72,4,130.68
04-02-2020 00:00,05-02-2020 00:00,586.74,4,146.685
05-02-2020 00:00,06-02-2020 00:00,493.98,4,123.495
06-02-2020 00:00,07-02-2020 00:00,474.44,4,118.61
07-02-2020 00:00,08-02-2020 00:00,480.96999999999997,4,120.24249999999999
08-02-2020 00:00,09-02-2020 00:00,524.88,4,131.22
09-02-2020 00:00,10-02-2020 00:00,534.79,4,133.6975
10-02-2020 00:00,11-02-2020 00:00,502.31,4,125.5775
11-02-2020 00:00,12-02-2020 00:00,499.26,4,124.815
12-02-2020 00:00,13-02-2020 00:00,458.12,4,114.53
13-02-2020 00:00,14-02-2020 00:00,408.93,4,102.2325
14-02-2020 00:00,15-02-2020 00:00,450.9,4,112.725
15-02-2020 00:00,16-02-2020 00:00,316.32000000000005,4,79.08000000000001
16-02-2020 00:00,17-02-2020 00:00,479.5,4,119.875
17-02-2020 00:00,18-02-2020 00:00,504.37,4,126.0925
18-02-2020 00:00,19-02-2020 00:00,371.34000000000003,4,92.83500000000001
19-02-2020 00:00,20-02-2020 00:00,446.09999999999997,4,111.52499999999999
20-02-2020 00:00,21-02-2020 00:00,430.95000000000005,4,107.73750000000001
21-02-2020 00:00,22-02-2020 00:00,297.92,4,74.48
22-02-2020 00:00,23-02-2020 00:00,175.14000000000001,4,43.785000000000004
23-02-2020 00:00,24-02-2020 00:00,333.56,3,111.18666666666667
24-02-2020 00:00,25-02-2020 00:00,366.85,4,91.7125
25-02-2020 00:00,26-02-2020 00:00,181.01,4,45.2525
26-02-2020 00:00,27-02-2020 00:00,172.28,4,43.07
27-02-2020 00:00,28-02-2020 00:00,205.53,4,51.3825
28-02-2020 00:00,29-02-2020 00:00,259.85,4,64.9625
29-02-2020 00:00,01-03-2020 00:00,306.69,4,76.6725
01-03-2020 00:00,02-03-2020 00:00,258.32000000000005,4,64.58000000000001
02-03-2020 00:00,03-03-2020 00:00,261.91,4,65.4775
03-03-2020 00:00,04-03-2020 00:00,303.73,4,75.9325
04-03-2020 00:00,05-03-2020 00:00,344.31,4,86.0775
05-03-2020 00:00,06-03-2020 00:00,318.54999999999995,4,79.63749999999999
06-03-2020 00:00,07-03-2020 00:00,182.98000000000002,4,45.745000000000005
07-03-2020 00:00,08-03-2020 00:00,136.2,4,34.05
08-03-2020 00:00,09-03-2020 00:00,253.56,4,63.39
