From,To,PM2.5,count
01-01-2020 00:00,02-01-2020 00:00,273.6875,4
02-01-2020 00:00,03-01-2020 00:00,177.3075,4
03-01-2020 00:00,04-01-2020 00:00,118.62500000000001,4
04-01-2020 00:00,05-01-2020 00:00,104.6225,4
05-01-2020 00:00,06-01-2020 00:00,99.0975,4
06-01-2020 00:00,07-01-2020 00:00,129.675,4
07-01-2020 00:00,08-01-2020 00:00,159.235,4
08-01-2020 00:00,09-01-2020 00:00,183.01749999999998,4
09-01-2020 00:00,10-01-2020 00:00,99.73750000000001,4
10-01-2020 00:00,11-01-2020 00:00,111.08500000000001,4
11-01-2020 00:00,12-01-2020 00:00,182.9375,4
12-01-2020 00:00,13-01-2020 00:00,227.03750000000002,4
13-01-2020 00:00,14-01-2020 00:00,204.48250000000002,4
14-01-2020 00:00,15-01-2020 00:00,169.6375,4
15-01-2020 00:00,16-01-2020 00:00,175.28750000000002,4
16-01-2020 00:00,17-01-2020 00:00,97.00750000000001,4
17-01-2020 00:00,18-01-2020 00:00,58.5075,4
18-01-2020 00:00,19-01-2020 00:00,79.6375,4
19-01-2020 00:00,20-01-2020 00:00,68.98,4
20-01-2020 00:00,21-01-2020 00:00,110.2,4
21-01-2020 00:00,22-01-2020 00:00,148.09,4
22-01-2020 00:00,23-01-2020 00:00,160.2175,4
23-01-2020 00:00,24-01-2020 00:00,88.9575,4
24-01-2020 00:00,25-01-2020 00:00,96.3175,4
25-01-2020 00:00,26-01-2020 00:00,133.21999999999997,4
26-01-2020 00:00,27-01-2020 00:00,157.7275,4
27-01-2020 00:00,28-01-2020 00:00,150.4575,4
28-01-2020 00:00,29-01-2020 00:00,157.82,4
29-01-2020 00:00,30-01-2020 00:00,133.1,4
30-01-2020 00:00,31-01-2020 00:00,52.3725,4
31-01-2020 00:00,01-02-2020 00:00,78.6525,4
01-02-2020 00:00,02-02-2020 00:00,105.37,4
02-02-2020 00:00,03-02-2020 00:00,101.125,4
03-02-2020 00:00,04-02-2020 00:00,130.68,4
04-02-2020 00:00,05-02-2020 00:00,146.685,4
05-02-2020 00:00,06-02-2020 00:00,123.495,4
06-02-2020 00:00,07-02-2020 00:00,118.61,4
07-02-2020 00:00,08-02-2020 00:00,120.24249999999999,4
08-02-2020 00:00,09-02-2020 00:00,131.22,4
09-02-2020 00:00,10-02-2020 00:00,133.6975,4
10-02-2020 00:00,11-02-2020 00:00,125.5775,4
11-02-2020 00:00,12-02-2020 00:00,124.815,4
12-02-2020 00:00,13-02-2020 00:00,114.53,4
13-02-2020 00:00,14-02-2020 00:00,102.2325,4
14-02-2020 00:00,15-02-2020 00:00,112.725,4
15-02-2020 00:00,16-02-2020 00:00,79.08000000000001,4
16-02-2020 00:00,17-02-2020 00:00,119.875,4
17-02-2020 00:00,18-02-2020 00:00,126.0925,4
18-02-2020 00:00,19-02-2020 00:00,92.83500000000001,4
19-02-2020 00:00,20-02-2020 00:00,111.52499999999999,4
20-02-2020 00:00,21-02-2020 00:00,107.73750000000001,4
21-02-2020 00:00,22-02-2020 00:00,74.48,4
22-02-2020 00:00,23-02-2020 00:00,43.785000000000004,4
23-02-2020 00:00,24-02-2020 00:00,111.18666666666667,3
24-02-2020 00:00,25-02-2020 00:00,91.7125,4
25-02-2020 00:00,26-02-2020 00:00,45.2525,4
26-02-2020 00:00,27-02-2020 00:00,43.07,4
27-02-2020 00:00,28-02-2020 00:00,51.3825,4
28-02-2020 00:00,29-02-2020 00:00,64.9625,4
29-02-2020 00:00,01-03-2020 00:00,76.6725,4
01-03-2020 00:00,02-03-2020 00:00,64.58000000000001,4
02-03-2020 00:00,03-03-2020 00:00,65.4775,4
03-03-2020 00:00,04-03-2020 00:00,75.9325,4
04-03-2020 00:00,05-03-2020 00:00,86.0775,4
05-03-2020 00:00,06-03-2020 00:00,79.63749999999999,4
06-03-2020 00:00,07-03-2020 00:00,45.745000000000005,4
07-03-2020 00:00,08-03-2020 00:00,34.05,4
08-03-2020 00:00,09-03-2020 00:00,63.39,4
